,,,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
,,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
tag,cfg,class,,,,,,,,,,,,,,
v4.0.0,AI,G2,-12.999157142857143,-39.8113,-45.00255714285714,-16.47802857142857,-11.567514285714285,-12.165542857142857,-13.589642857142858,-13.079042857142856,-13.05292857142857,-24.874614285714284,-13.032528571428571,-39.69987142857143,-44.963928571428575,-14.7546
v4.0.0,AS,A1,-19.10925,-26.6148125,-28.556675,-20.062375,-15.756237500000001,-18.1516125,-23.940375,-23.0137875,-18.35565,-22.88155,-19.0659625,-26.6270625,-28.661925,-20.107625
v4.0.0,LD,A2,-12.10388947368421,-25.343784210526316,-26.682652631578947,-13.415884210526317,-11.160857894736841,-11.695805263157895,-14.416694736842103,-13.79638947368421,-11.11383157894737,-16.126594736842105,-12.263284210526315,-25.658236842105264,-26.847178947368423,-13.238431578947369
v4.0.0,LD,A3,-12.1734125,-25.84085,-25.4771875,-13.5064,-11.2434,-11.38405,-12.8166875,-12.172725,-11.6509625,-17.3130125,-12.194212499999999,-25.756525,-25.269725,-13.0382125
v4.0.0,LD,A4,-12.346866666666665,-28.206433333333333,-33.20381666666667,-14.073483333333334,-14.055866666666667,-12.803483333333332,-11.059600000000001,-11.778333333333334,-10.504916666666666,-15.997066666666667,-12.631466666666668,-28.559700000000003,-33.35293333333333,-13.706833333333334
v4.0.0,LD,A5,-9.2268,-28.346075,-16.471024999999997,-10.495475,-9.149775,-9.363125,-12.6906,-11.873175,-10.0497,-12.806025,-9.479724999999998,-27.950625000000002,-16.160249999999998,-10.0687
v4.0.0,LD,B1,-11.774550000000001,-26.97021,-24.89238,-13.21029,-12.1698,-12.5943,-13.38885,-12.888830000000002,-10.97071,-15.51449,-11.656139999999999,-28.47692,-24.59956,-12.82809
v4.0.0,LD,B2,-25.108666666666664,-35.25858888888889,-35.34884444444444,-26.189422222222223,-25.413766666666664,-25.6067,-27.057266666666667,-25.3811,-25.649144444444445,-30.582722222222223,-25.316633333333336,-34.15297777777778,-34.906622222222225,-26.60088888888889
v4.0.0,RA,A1,-19.566924999999998,-27.728275,-30.09525,-20.608625,-16.86755,-18.7635,-25.22155,-23.7957125,-18.7050125,-23.47345,-19.584600000000002,-27.792975,-30.22345,-20.7230375
v4.0.0,RA,A2,-17.36398947368421,-25.722036842105265,-27.51334736842105,-18.216368421052632,-16.140505263157895,-17.022963157894736,-22.83636842105263,-21.475715789473682,-15.8801,-19.816373684210525,-17.544868421052634,-25.862568421052632,-27.566731578947373,-18.17646842105263
v4.0.0,RA,A3,-18.903025,-29.882237500000002,-28.6841625,-19.960075,-18.0859125,-18.4689625,-23.097075,-21.514575,-18.1538125,-23.2705875,-18.903325,-29.7895,-28.368975000000002,-19.5671625
v4.0.0,RA,A4,-16.400916666666667,-27.835416666666664,-30.775283333333334,-17.67311666666667,-17.51895,-16.932733333333335,-20.6753,-20.061116666666667,-14.606933333333332,-19.056900000000002,-16.590016666666667,-27.95828333333333,-30.381249999999998,-17.397883333333333
v4.0.0,RA,A5,-15.213650000000001,-29.884475000000002,-22.69855,-16.3193,-15.148675,-15.597175,-20.788325,-20.105975,-15.90815,-18.64375,-15.53155,-29.6655,-22.596375000000002,-15.997399999999999
v4.0.0,RA,B1,-15.614619999999999,-23.80981,-23.45901,-16.44695,-16.24841,-16.77935,-20.184739999999998,-19.115000000000002,-14.41349,-17.23012,-15.654910000000001,-24.561010000000003,-22.80722,-16.26032
v4.0.0,RA,B2,-22.944622222222222,-34.09625555555556,-35.35296666666667,-24.19983333333333,-23.177666666666667,-23.677766666666667,-24.569100000000002,-23.10118888888889,-24.072955555555556,-29.991522222222223,-23.058866666666667,-33.466255555555556,-34.76156666666667,-24.63661111111111
v4.0.0,RA,E,-14.04384375,-20.59590625,-18.952025,-14.93359375,-12.9412875,-13.24533125,-19.3505,-18.43179375,-13.535025000000001,-16.07113125,-14.4349875,-20.5445875,-18.805375,-14.80549375
v4.0.0,RA,G1,-21.326175,-37.239875,-47.1237,-23.434725,-18.877175,-20.0211,-30.679675000000003,-29.203850000000003,-20.44435,-27.752625000000002,-21.507375,-37.498925,-47.528,-22.839
v4.0.0,RA,G2,-17.975285714285715,-38.30784285714286,-43.37341428571428,-20.38658571428571,-17.680014285714286,-18.012,-25.029914285714284,-23.802028571428572,-17.617014285714287,-24.71861428571429,-17.916514285714285,-39.25164285714286,-43.034728571428566,-18.793142857142858
